Customer_ID,Name,Age,Gender,City,Salary,Purchase_Amount,Membership_Type,Join_Date,Last_Purchase_Date,Email,Phone,Satisfaction_Score,Payment_Method
1001.0,Customer_1,25.83529411764706,Male,Kathmandu,55000.0,1800.0,Gold,2024-04-05,2025-12-04,customer1@gmail.com,9883197857.0,3.0,Bank Transfer
1002.0,Customer_2,22.0,Male,Kathmandu,50000.0,1500.0,Bronze,2024-10-01,2025-09-07,customer2@gmail.com,9897226012.0,,Card
1003.0,Customer_3,28.0,female,Lalitpur,200000.0,1200.0,Gold,2024-12-14,2025-06-09,customer3@gmail.com,9830868105.0,4.0,eSewa
1004.0,Customer_4,22.0,Male,Bhaktapur,45000.0,1800.0,Silver,2024-10-09,2025-01-24,customer4@gmail.com,9871662963.0,3.0,Bank Transfer
1005.0,Customer_5,22.0,female,Lalitpur,200000.0,1800.0,Bronze,2024-06-19,2025-04-23,customer5@gmail.com,9819335534.0,3.0,Card
1006.0,Customer_6,26.0,Male,Pokhara,200000.0,1200.0,Silver,2024-05-15,2025-11-27,customer6@gmail.com,9858966946.0,4.0,eSewa
1007.0,Customer_7,26.0,male,Lalitpur,55000.0,1800.0,Bronze,2024-02-20,2025-11-06,customer7@gmail.com,9881691040.0,4.0,Card
1008.0,Customer_8,28.0,Female,Lalitpur,55000.0,1800.0,Bronze,2024-04-22,2025-06-27,customer8@gmail.com,9817507864.0,4.0,Cash
1009.0,Customer_9,26.0,Female,Lalitpur,45000.0,1500.0,Bronze,2024-12-11,2025-04-21,customer9@gmail.com,9877005685.0,,Bank Transfer
1010.0,Customer_10,24.0,MALE,Pokhara,50000.0,1800.0,Bronze,2024-09-09,2025-12-19,customer10@gmail.com,9867503414.0,,eSewa
1011.0,Customer_11,24.0,male,Lalitpur,60000.0,1200.0,Gold,2024-02-05,2025-11-06,customer11@gmail.com,9866661351.0,3.0,Bank Transfer
