Customer_ID,Name,Age,Gender,City,Salary,Purchase_Amount,Membership_Type,Join_Date,Last_Purchase_Date,Email,Phone,Satisfaction_Score,Payment_Method
1001,Customer_1,,Male,Kathmandu,,1800.0,Gold,2024-04-05,2025-12-04,customer1@gmail.com,9883197857,3.0,Bank Transfer
1002,Customer_2,22.0,Male,Kathmandu,50000.0,1500.0,Bronze,2024-10-01,2025-09-07,customer2@gmail.com,9897226012,,Card
1003,Customer_3,28.0,female,Lalitpur,200000.0,1200.0,Gold,2024-12-14,2025-06-09,customer3@gmail.com,9830868105,4.0,eSewa
1004,Customer_4,22.0,Male,Bhaktapur,45000.0,1800.0,Silver,2024-10-09,2025-01-24,customer4@gmail.com,9871662963,3.0,Bank Transfer
1005,Customer_5,22.0,female,Lalitpur,200000.0,,Bronze,2024-06-19,2025-04-23,customer5@gmail.com,9819335534,3.0,Card
1006,Customer_6,26.0,Male,Pokhara,200000.0,1200.0,Silver,2024-05-15,2025-11-27,customer6@gmail.com,9858966946,4.0,eSewa
1007,Customer_7,26.0,male,Lalitpur,,,Bronze,2024-02-20,2025-11-06,customer7@gmail.com,9881691040,4.0,Card
1008,Customer_8,28.0,Female,Lalitpur,,,Bronze,2024-04-22,2025-06-27,customer8@gmail.com,9817507864,4.0,Cash
1009,Customer_9,26.0,Female,Lalitpur,45000.0,1500.0,Bronze,2024-12-11,2025-04-21,customer9@gmail.com,9877005685,,Bank Transfer
1010,Customer_10,24.0,MALE,Pokhara,50000.0,,Bronze,2024-09-09,2025-12-19,customer10@gmail.com,9867503414,,eSewa
1011,Customer_11,24.0,male,,60000.0,1200.0,Gold,2024-02-05,2025-11-06,customer11@gmail.com,9866661351,3.0,Bank Transfer
1012,Customer_12,28.0,female,Bhaktapur,70000.0,1800.0,Bronze,2024-01-22,2025-12-04,customer12@gmail.com,9882070937,5.0,eSewa
1013,Customer_13,22.0,MALE,Bhaktapur,50000.0,2200.0,Gold,2024-12-24,2025-05-17,customer13@gmail.com,9833978249,3.0,eSewa
1014,Customer_14,,female,,50000.0,1500.0,Silver,2024-03-18,2025-09-01,customer14@gmail.com,9890388981,5.0,Bank Transfer
1015,Customer_15,22.0,Male,Lalitpur,200000.0,1800.0,Gold,2024-01-08,2025-10-03,customer15@gmail.com,9821496211,,Cash
1016,Customer_16,30.0,male,Pokhara,,2200.0,Bronze,2024-03-09,2025-09-28,customer16@gmail.com,9891415657,,Card
1017,Customer_17,30.0,FEMALE,Pokhara,,1800.0,Silver,2024-11-21,2025-06-15,customer17@gmail.com,9879467853,,Cash
1018,Customer_18,24.0,male,Kathmandu,55000.0,1200.0,Bronze,2024-09-08,2025-10-08,customer18@gmail.com,9810965138,3.0,Cash
1019,Customer_19,24.0,Male,Kathmandu,200000.0,1800.0,Gold,2024-09-08,2025-05-22,customer19@gmail.com,9875151231,4.0,Card
1020,Customer_20,,female,,60000.0,1500.0,Silver,2024-07-07,2025-02-04,customer20@gmail.com,9898447167,,eSewa
1021,Customer_21,28.0,Female,Bhaktapur,200000.0,,Gold,2024-11-21,2025-11-04,customer21@gmail.com,9818135295,,eSewa
1022,Customer_22,22.0,male,Pokhara,50000.0,2500.0,Silver,2024-03-14,2025-03-09,customer22@gmail.com,9872092888,4.0,Cash
1023,Customer_23,28.0,female,Kathmandu,45000.0,,Bronze,2024-01-03,2025-04-06,customer23@gmail.com,9864547971,,Bank Transfer
1024,Customer_24,24.0,Female,Kathmandu,50000.0,2200.0,Gold,2024-07-09,2025-08-10,customer24@gmail.com,9866775103,,Card
1025,Customer_25,24.0,MALE,Pokhara,45000.0,2500.0,Bronze,2024-09-02,2025-12-11,customer25@gmail.com,9817672593,3.0,Bank Transfer
1026,Customer_26,30.0,female,Pokhara,45000.0,2500.0,Gold,2024-03-03,2025-10-03,customer26@gmail.com,9841568532,,Cash
1027,Customer_27,30.0,male,,70000.0,1200.0,Bronze,2024-02-14,2025-11-19,customer27@gmail.com,9885863473,5.0,eSewa
1028,Customer_28,24.0,FEMALE,Lalitpur,50000.0,1800.0,Silver,2024-03-22,2025-11-10,customer28@gmail.com,9871367643,5.0,Cash
1029,Customer_29,22.0,Female,,70000.0,1200.0,Gold,2024-09-07,2025-09-09,customer29@gmail.com,9827778019,5.0,Cash
1030,Customer_30,24.0,MALE,Lalitpur,50000.0,2200.0,Bronze,2024-12-10,2025-10-26,customer30@gmail.com,9897775215,3.0,eSewa
1031,Customer_31,,Male,Pokhara,55000.0,1200.0,Gold,2024-12-18,2025-03-09,customer31@gmail.com,9847816686,4.0,eSewa
1032,Customer_32,24.0,FEMALE,Lalitpur,70000.0,2200.0,Silver,2024-01-03,2025-11-14,customer32@gmail.com,9847135391,3.0,Cash
1033,Customer_33,26.0,male,Lalitpur,50000.0,,Silver,2024-09-23,2025-07-18,customer33@gmail.com,9811297845,3.0,Cash
1034,Customer_34,,male,,45000.0,1800.0,Bronze,2024-09-05,2025-07-05,customer34@gmail.com,9815614174,5.0,eSewa
1035,Customer_35,22.0,MALE,Pokhara,,1500.0,Bronze,2024-02-12,2025-09-28,customer35@gmail.com,9864543049,4.0,Card
1036,Customer_36,24.0,male,Bhaktapur,45000.0,1500.0,Bronze,2024-06-26,2025-07-26,customer36@gmail.com,9899913412,4.0,eSewa
